"Date","Time","Value"
"06/01/2025","12:15:00","117"
"06/01/2025","12:00:00","140"
"06/01/2025","11:45:00","127"
"06/01/2025","11:30:00","120"
"06/01/2025","11:15:00","126"
"06/01/2025","11:00:00","138"
"06/01/2025","10:45:00","127"
"06/01/2025","10:30:00","116"
"06/01/2025","10:15:00","153"
"06/01/2025","10:00:00","122"
"06/01/2025","09:45:00","121"
"06/01/2025","09:30:00","164"
"06/01/2025","09:15:00","113"
"06/01/2025","09:00:00","99"
"06/01/2025","08:45:00","56"
"06/01/2025","08:30:00","0"
"06/01/2025","08:28:00","1"
"06/01/2025","08:24:00","359"
"06/01/2025","08:23:00","0"
"06/01/2025","08:22:00","352"
"06/01/2025","08:20:00","1"
"06/01/2025","08:19:00","350"
"06/01/2025","08:17:00","1"
"06/01/2025","08:15:00","343"
"06/01/2025","08:04:00","359"
"06/01/2025","08:03:00","0"
"06/01/2025","08:00:00","337"
"06/01/2025","07:45:00","306"
"06/01/2025","07:30:00","319"
"06/01/2025","07:15:00","328"
"06/01/2025","07:00:00","319"
"06/01/2025","06:55:00","335"
"06/01/2025","06:45:00","216"
"06/01/2025","06:30:00","275"
