"Date","Time","Value"
"07/23/2025","09:49:56","2.05"
"07/23/2025","01:50:09","2.05"
"07/22/2025","09:49:56","2.05"
"07/22/2025","01:49:56","2.05"
"07/21/2025","17:49:56","2.05"
"07/21/2025","09:49:56","2.05"
"07/21/2025","01:49:56","2.05"
"07/20/2025","17:49:57","2.05"
"07/20/2025","09:49:56","2.05"
"07/20/2025","01:49:57","2.05"
"07/20/2025","01:49:55","2.05"
"07/19/2025","17:49:56","2.05"
"07/19/2025","09:49:56","2.05"
"07/19/2025","01:49:56","2.05"
"07/18/2025","17:49:57","2.05"
"07/18/2025","09:49:57","2.05"
"07/18/2025","01:49:57","2.05"
"07/17/2025","17:49:56","2.05"
"07/17/2025","09:49:56","2.05"
"07/17/2025","01:49:56","2.05"
"07/16/2025","17:49:56","2.05"
"07/16/2025","09:49:56","2.05"
"07/16/2025","01:49:57","2.05"
"07/15/2025","17:49:56","2.05"
"07/15/2025","09:49:56","2.05"
"07/15/2025","01:49:57","2.05"
"07/14/2025","17:49:57","2.05"
"07/14/2025","09:49:57","2.05"
"07/14/2025","01:49:56","2.05"
"07/13/2025","17:49:57","2.05"
"07/13/2025","09:49:56","2.05"
"07/13/2025","01:49:57","2.05"
"07/12/2025","17:49:57","2.05"
"07/12/2025","09:49:56","2.05"
"07/12/2025","01:49:56","2.05"
"07/11/2025","17:49:56","2.05"
"07/11/2025","09:49:56","2.05"
"07/11/2025","01:49:57","2.05"
"07/10/2025","17:49:57","2.05"
"07/10/2025","09:49:57","2.05"
"07/09/2025","17:49:56","2.05"
"07/09/2025","09:49:56","2.05"
"07/09/2025","01:49:57","2.05"
"07/08/2025","17:49:56","2.05"
"07/08/2025","09:49:57","2.05"
"07/08/2025","01:49:56","2.05"
"07/07/2025","17:49:57","2.05"
"07/07/2025","09:49:56","2.05"
"07/07/2025","01:49:56","2.05"
"07/06/2025","17:49:56","2.05"
"07/06/2025","01:49:57","2.05"
"07/05/2025","17:49:56","2.05"
"07/05/2025","09:49:57","2.05"
"07/05/2025","01:49:57","2.05"
"07/04/2025","17:49:57","2.05"
"07/04/2025","09:49:57","2.05"
"07/04/2025","01:49:56","2.05"
"07/03/2025","17:49:57","2.05"
"07/03/2025","09:49:57","2.05"
"07/03/2025","01:49:57","2.05"
"07/02/2025","09:49:56","2.05"
"07/02/2025","01:49:56","2.05"
"07/01/2025","17:49:57","2.05"
"07/01/2025","09:49:57","2.05"
"07/01/2025","01:49:57","2.05"
"06/30/2025","17:49:56","2.05"
"06/30/2025","09:49:57","2.05"
"06/30/2025","01:49:57","2.05"
"06/29/2025","17:49:57","2.05"
"06/29/2025","09:49:57","2.05"
"06/29/2025","01:49:57","2.05"
"06/28/2025","17:49:57","2.05"
"06/28/2025","09:49:57","2.05"
"06/28/2025","01:49:57","2.05"
"06/27/2025","17:49:57","2.05"
"06/27/2025","09:49:57","2.05"
"06/27/2025","01:49:57","2.05"
"06/26/2025","17:49:57","2.05"
"06/26/2025","09:49:58","2.05"
"06/26/2025","01:49:57","2.05"
"06/25/2025","17:49:57","2.05"
"06/25/2025","09:49:57","2.05"
"06/25/2025","01:50:11","2.05"
"06/24/2025","17:49:57","2.05"
"06/24/2025","09:49:57","2.05"
"06/24/2025","01:50:10","2.05"
"06/23/2025","17:49:57","2.05"
"06/23/2025","09:49:57","2.05"
"06/23/2025","01:50:10","2.05"
"06/22/2025","17:49:57","2.05"
"06/22/2025","09:49:57","2.05"
"06/22/2025","01:50:11","2.05"
"06/21/2025","17:49:57","2.05"
"06/21/2025","17:35:22","2.05"
"06/21/2025","09:49:57","2.05"
"06/21/2025","01:49:57","2.05"
"06/20/2025","17:49:57","2.05"
"06/20/2025","09:49:57","2.05"
"06/20/2025","01:50:11","2.05"
"06/20/2025","01:50:09","2.05"
"06/19/2025","17:49:58","2.05"
"06/19/2025","09:49:57","2.05"
"06/19/2025","01:50:11","2.05"
"06/18/2025","17:49:57","2.05"
"06/18/2025","09:49:57","2.05"
"06/18/2025","01:50:11","2.05"
"06/17/2025","17:49:57","2.05"
"06/17/2025","09:49:57","2.05"
"06/17/2025","01:50:10","2.05"
"06/16/2025","17:49:57","2.05"
"06/16/2025","09:49:57","2.05"
"06/16/2025","01:50:11","2.05"
"06/15/2025","17:49:57","2.05"
"06/15/2025","09:49:57","2.05"
"06/15/2025","01:50:11","2.05"
"06/14/2025","17:49:57","2.05"
"06/14/2025","09:49:57","2.05"
"06/14/2025","01:49:58","2.05"
"06/13/2025","17:49:58","2.05"
"06/13/2025","09:49:57","2.05"
"06/13/2025","01:49:58","2.05"
