"Date","Time","Value"
"07/07/2025","09:01:08","0.55"
"07/07/2025","01:01:07","0.55"
"07/06/2025","17:01:08","0.55"
"07/06/2025","09:01:07","0.55"
"07/06/2025","01:01:07","0.55"
"07/05/2025","17:01:08","0.55"
"07/05/2025","09:01:07","0.55"
"07/05/2025","01:01:07","0.55"
"07/04/2025","17:01:07","0.55"
"07/04/2025","09:01:07","0.55"
"07/04/2025","01:01:07","0.55"
"07/03/2025","17:01:07","0.55"
"07/03/2025","09:01:07","0.55"
"07/03/2025","01:01:07","0.55"
"07/02/2025","17:01:07","0.55"
"07/02/2025","09:01:07","0.55"
"07/02/2025","01:01:07","0.55"
"07/01/2025","17:01:07","0.55"
"07/01/2025","09:01:07","0.55"
"07/01/2025","01:01:07","0.55"
"06/30/2025","17:01:07","0.55"
"06/30/2025","09:01:06","0.55"
"06/30/2025","01:01:06","0.55"
"06/29/2025","17:01:07","0.55"
"06/29/2025","09:01:06","0.55"
"06/29/2025","01:01:07","0.55"
"06/28/2025","17:01:07","0.55"
"06/28/2025","09:01:06","0.55"
"06/28/2025","01:01:06","0.55"
"06/27/2025","17:01:06","0.55"
"06/27/2025","09:01:06","0.55"
"06/27/2025","01:01:06","0.55"
"06/26/2025","17:01:06","0.55"
"06/26/2025","01:01:06","0.55"
"06/25/2025","17:01:06","0.55"
"06/25/2025","09:01:06","0.55"
"06/25/2025","01:01:06","0.55"
"06/24/2025","17:01:06","0.55"
"06/24/2025","09:01:06","0.55"
"06/24/2025","01:01:06","0.55"
"06/23/2025","17:01:06","0.55"
"06/23/2025","09:01:06","0.55"
"06/23/2025","01:01:05","0.55"
"06/22/2025","17:01:06","0.55"
"06/22/2025","09:01:06","0.55"
"06/22/2025","01:01:05","0.55"
"06/21/2025","17:01:06","0.55"
"06/21/2025","09:01:05","0.55"
"06/21/2025","01:01:05","0.55"
"06/20/2025","17:01:06","0.55"
"06/20/2025","01:01:05","0.55"
"06/19/2025","17:01:06","0.55"
"06/19/2025","09:01:06","0.55"
"06/19/2025","01:01:06","0.55"
"06/18/2025","17:01:05","0.55"
"06/18/2025","09:01:05","0.55"
"06/18/2025","01:01:05","0.55"
"06/17/2025","17:01:06","0.55"
"06/17/2025","09:01:06","0.55"
