Station ID,Name,Type,OOS,Latitude,Longitude
2,Willow Beach 2 (NPS),NPS System,FALSE,35.87789,-114.58875
4,Malpais Flattop Mesa (NPS),NPS System,FALSE,35.82014,-114.66325
5,Householder Pass (NPS),NPS System,FALSE,35.82578,-114.59625
7,Eldorado (NPS) - New Repeater,NPS System,FALSE,35.74642,-114.576
8,Willow Beach 8 (NPS),NPS System,FALSE,35.961,-114.62764
11,Black Mtn North (NPS),NPS System,FALSE,35.49339,-114.755
12,Black Mtn South (NPS),NPS System,FALSE,35.48725,-114.736
13,Bill Gays Butte (NPS),NPS System,FALSE,35.45042,-114.747
14,Cottonwood Cove West (NPS),NPS System,FALSE,35.49181,-114.706
2564,Mesquite 1,Handar 585A,FALSE,36.951944,-114.036056
2574,Town Wash (Mesquite 3),Handar 585A,FALSE,36.906944,-114.054333
2584,Mesquite Airport,HydroLynx 50388/A2,FALSE,36.837028,-114.055444
2594,Town Wash DB,DAA H264,FALSE,36.825556,-114.073333
2599,Town Wash Channel,DAA H264,FALSE,36.799722,-114.073056
2664,Mesquite 2 (Toquop Wash),HydroLynx 5096/A2,FALSE,36.9335,-114.200528
2674,Pulsipher Wash DB,DAA H264,FALSE,36.8175,-114.114444
2684,Abbott Wash DB,Handar 585A,FALSE,36.826111,-114.093611
2694,Abbott Wash Channel,Handar 585C,FALSE,36.8065,-114.085611
2754,Bunkerville,HydroLynx 50388/A2,FALSE,36.707972,-114.076139
2784,Windmill Wash DB,Amazon/50388 A2,FALSE,36.766111,-114.1225
3034,Halfway Wash,Handar 585A,FALSE,36.867056,-114.309083
3044,Mormon Mesa 1,HydroLynx 5096/A2,FALSE,36.758417,-114.449
3064,Weiser Wash,HydroLynx 5096/A2,FALSE,36.7495,-114.547833
3114,California Wash 4,HydroLynx 5096/A2,FALSE,36.491111,-114.781333
3124,Moapa SW 3,HydroLynx 50388/A2,FALSE,36.555528,-114.856694
3129,Moapa SW 2,HydroLynx 5096/A2,FALSE,36.536528,-114.771611
3134,Moapa SW 1,HydroLynx 5096/A2,FALSE,36.584778,-114.765389
3144,California Wash 3,Handar 585D,FALSE,36.479806,-114.706833
3164,California Wash 1,Handar 585A,FALSE,36.542639,-114.636778
3184,California Wash 2,HydroLynx 5096/A2,FALSE,36.631194,-114.631389
3204,Hogan Springs Overlook,HydroLynx 50388/A2,FALSE,36.633889,-114.684722
3214,Elbow Canyon,HydroLynx 5096/A2,FALSE,36.746667,-114.98
3219,Segmiller Wash,HydroLynx 5096/A2,FALSE,36.656667,-114.675
3229,Coyote Springs DB,DAA H264,FALSE,36.802333,-114.953472
3234,Wildcat Wash,HydroLynx 5096/A2,FALSE,36.803917,-114.85575
3239,Dry Gulch,HydroLynx 5096/A2,FALSE,36.773889,-114.714083
3244,Mormon Mesa 2,Handar 585D,FALSE,36.664722,-114.418056
3254,Overton Beach,HydroLynx 50386/A2,FALSE,36.439972,-114.362417
3264,Muddy River Moapa (USGS),DAA H264,FALSE,36.711122,-114.695464
3269,Muddy River at Glendale Bridge (3269),Amazon/50388 A2,FALSE,36.663417,-114.571306
3274,Logan Wash,HydroLynx 5096/A2,FALSE,36.595083,-114.532833
3279,Mormon Mesa Overton,HydroLynx 5096/A2,FALSE,36.561694,-114.389194
3284,Silica Dome,Handar 585D,FALSE,36.456556,-114.502861
3289,Fairgrounds DB,Amazon/50388 A2,FALSE,36.613333,-114.466389
3294,Overton Airport,HydroLynx 50388/A2,FALSE,36.565,-114.438056
3299,Muddy River at Cooper St. (3299),Amazon/50388 A2,FALSE,36.556944,-114.443528
3301,Boulder City Repeater (Red Mountain) - To Base,Hydrolynx 5052RP/A2,FALSE,35.995444,-114.863806
3384,Meadow Valley Wash,Handar 585C,FALSE,36.755358,-114.62345
3619,Indian Springs DB,Handar 585A,FALSE,36.571139,-115.682556
3634,Indian Springs 1,HydroLynx 50386/A2,FALSE,36.573,-115.641639
3644,Indian Springs 2,HydroLynx 5096/A2,FALSE,36.507667,-115.600778
3704,Cold Creek,Handar 585D,FALSE,36.445611,-115.686194
3709,Lee Canyon 1,HydroLynx 5096/A2,FALSE,36.450917,-115.503778
3834,Rainbow Canyon,HydroLynx 5096/A2,FALSE,36.249472,-115.630194
3844,Harris Springs 2,HydroLynx 5096/A2,FALSE,36.239361,-115.558917
3854,Harris Springs 1,HydroLynx 50388/A2,FALSE,36.228861,-115.579167
3864,Harris Springs 3,HydroLynx 5096/A2,FALSE,36.266806,-115.524361
3914,Grapevine Springs 2,HydroLynx 5096/A2,FALSE,36.283,-115.480778
3924,Yucca Forest 1,HydroLynx 5096/A2,FALSE,36.572778,-115.204167
3929,Grapevine Springs 1,HydroLynx 5096/A2,FALSE,36.339083,-115.421056
3934,Yucca Forest 2,HydroLynx 50386/A2,FALSE,36.52,-115.163333
3949,Corn Creek NW,HydroLynx 5096/A2,FALSE,36.428139,-115.432472
3954,Tule Springs NW,HydroLynx 5096/A2,FALSE,36.369917,-115.370417
4001,North Las Vegas DB,Amazon/50388 A2,TRUE,36.293033,-115.131392
4004,Las Vegas Wash at Nellis,Campbell Scientific AL200/A2,FALSE,36.155028,-115.061694
4009,Floyd Lamb North EEA,DAA H264,FALSE,36.321556,-115.257639
4014,Fossil Ridge,HydroLynx 50388/A2,FALSE,36.430806,-115.285611
4019,Floyd Lamb South EEA,DAA H264,FALSE,36.319083,-115.267139
4024,Upper Las Vegas Wash DB,DAA H264,FALSE,36.325472,-115.211944
4029,Kyle Canyon DB,Handar 585C,FALSE,36.300389,-115.338333
4034,North Valley 1,Handar 585D,FALSE,36.343167,-115.166667
4039,North Valley 2,Handar 585A,FALSE,36.356417,-115.136583
4044,Castle Rock,Handar 585A,FALSE,36.357225,-115.241492
4049,Floyd Lamb City Park (Tule Springs),HydroLynx 5096/A2,FALSE,36.317833,-115.269222
4054,Lone Mtn at Hualapai,Handar 585A,FALSE,36.251556,-115.333611
4059,Gowan Outfall Channel,DAA H264,FALSE,36.243139,-115.159806
4064,Lower Las Vegas Wash DB,DAA H264,FALSE,36.255,-115.16
4069,Las Vegas Wash at Craig Rd,Handar 585C,FALSE,36.242583,-115.112333
4074,Las Vegas Wash at Lake Mead,DAA H264,FALSE,36.195833,-115.098611
4079,Western Tributary of Las Vegas Wash,Handar 585C,FALSE,36.2572,-115.172444
4084,Las Vegas Wash above Flamingo Wash confluence,DAA H264,FALSE,36.142111,-115.053722
4089,Las Vegas Wash below Vegas Valley Dr. (USGS),USGS Waterdata,FALSE,36.131861,-115.035769
4094,Las Vegas Wash at 3-Kids,Handar 585A,FALSE,36.098944,-114.943583
4099,Rainbow Garden Weir,DAA H264,FALSE,36.1,-114.943028
4104,Nellis AFB North,Handar 585D,FALSE,36.253528,-115.031069
4109,Nellis AFB South,HydroLynx 5096/A2,FALSE,36.224481,-115.024322
4114,Sloan Channel at Las Vegas Blvd,Handar 585A,FALSE,36.228717,-115.074286
4119,Vandenberg DB,Handar 585A,FALSE,36.252639,-115.087944
4124,West Range Wash 1,Handar 585A,FALSE,36.325694,-115.030167
4129,Vandenberg North DB (4129),Amazon/50388 A2,FALSE,36.278114,-115.097181
4134,West Range Wash 2,Handar 585A,FALSE,36.335,-115.079139
4139,Speedway #2 DB (4139),Amazon/50388 A2,FALSE,36.290053,-115.0246
4144,Apex at I-15,HydroLynx 5096/A2,FALSE,36.336667,-114.918333
4154,Confluence DB,Handar 585A,FALSE,36.211167,-115.042889
4174,Sloan Channel at Charleston (USGS),USGS Waterdata,FALSE,36.159564,-115.044542
4179,Orchard DB,DAA H264,FALSE,36.1525,-115.019167
4184,Sunrise Landfill 2,HydroLynx 50388/A2,FALSE,36.140889,-115.003583
4189,Sunrise Landfill 1,HydroLynx 5096/A2,FALSE,36.144417,-114.993222
4199,Sloan Channel below Sahara,DAA H264,FALSE,36.143194,-115.042833
4201,Grand Park DB (4201),Amazon/50388 A2,FALSE,36.193917,-115.358972
4203,Summerlin DB (DB 5) (4203),Amazon/50388 A2,FALSE,36.173353,-115.373131
4204,Summerlin West,HydroLynx 5096/A2,FALSE,36.182611,-115.357861
4207,WOTUS 5 Channel (4207),HydroLynx 5096/A2,FALSE,36.205561,-115.396702
4209,Summerlin NW,HydroLynx 5096/A2,FALSE,36.206472,-115.371489
4214,Summerlin Pkwy,HydroLynx 5096/A2,FALSE,36.179056,-115.294306
4219,Angel Park DB,Handar 585A,FALSE,36.187,-115.281417
4224,Angel Park West,Handar 585D,FALSE,36.171778,-115.309167
4229,Charleston at Rampart,HydroLynx 5096/A2,FALSE,36.161028,-115.292417
4234,Smoke Ranch at Buffalo,HydroLynx 5096/A2,FALSE,36.202528,-115.261333
4239,Carey/Lake Mead DB,Campbell Scientific AL200/A2,FALSE,36.198111,-115.180694
4244,Oakey at Rainbow,HydroLynx 5096/A2,FALSE,36.154722,-115.244444
4249,Oakey DB,Handar 585A,FALSE,36.151092,-115.234833
4254,Lower Gowan North DB,Handar 585C,FALSE,36.225306,-115.25325
4259,Gowan South DB,DAA H264,FALSE,36.216942,-115.252225
4264,Beltway at Lone Mountain DB,Handar 585A,FALSE,36.247583,-115.319389
4269,Lone Mountain DB,Handar 585A,FALSE,36.232267,-115.309447
4274,Downtown Las Vegas,Handar 585D,FALSE,36.165733,-115.145403
4279,Gowan North Channel,Handar 585C,FALSE,36.232722,-115.275333
4284,Las Vegas Wash at Lamb,DAA H264,FALSE,36.183056,-115.077778
4289,Freeway Channel near Charleston,Amazon/50388 A2,FALSE,36.155764,-115.162594
4294,Meadows DB,DAA H264,FALSE,36.172917,-115.183667
4299,Rainbow Curve DB,DAA H264,FALSE,36.173889,-115.2425
4304,Blue Diamond Ridge South,HydroLynx 5096/A2,FALSE,36.083764,-115.38575
4309,Desert Inn DB,Handar 585A,FALSE,36.12975,-115.24225
4314,Blue Diamond Ridge North,Handar 585A,FALSE,36.107511,-115.397828
4319,Beltway Channel at Town Center,Handar 585C,FALSE,36.119889,-115.324222
4324,Red Rock Canyon,HydroLynx 5096/A2,FALSE,36.1305,-115.428
4329,Brownstone Canyon,HydroLynx 5096/A2,FALSE,36.180639,-115.417583
4334,Upper Flamingo 1,Handar 585A,FALSE,36.058,-115.322361
4339,Beltway Channel at Peace Way,Handar 585C,FALSE,36.107028,-115.296778
4344,Red Rock DB,Handar 585A,FALSE,36.152586,-115.354658
4349,Upper Flamingo DB,Handar 585A,FALSE,36.090111,-115.270611
4354,The Lakes,Handar 585D,FALSE,36.124444,-115.285444
4359,The Lakes DB,Handar 585C,FALSE,36.127833,-115.278417
