,gauge_number,gauge_name
0,1,Willow Beach 1 (NPS) RAIN (old) (Rain)
1,2,Willow Beach 2 (NPS) RAIN (Rain)
2,3,Willow Beach 3 (NPS) RAIN (Rain)
3,4,Malpais Flattop Mesa (NPS) RAIN (Rain)
4,5,Householder Pass (NPS) RAIN (Rain)
5,6,Chalk Cliffs (NPS) RAIN (old) (Rain)
6,7,Eldorado (NPS) RAIN (Rain)
7,8,Willow Beach 8 (NPS) RAIN (Rain)
8,11,Black Mtn North (NPS) RAIN (Rain)
9,12,Black Mtn South (NPS) RAIN (Rain)
10,13,Bill Gays Butte (NPS) RAIN (Rain)
11,14,Cottonwood Cove West (NPS) RAIN (Rain)
12,15,Cottonwood Cove East (NPS) RAIN (old) (Rain)
13,65,Meadow Valley Wash near Caliente WL (USGS) (unknown type)
14,66,Muddy River near Moapa WL (USGS) (unknown type)
15,67,Muddy River near Glendale WL (USGS) (unknown type)
16,68,Virgin River above Lake Mead near Overton WL (USGS) (unknown type)
17,69,Beaver Dam Wash WL (USGS) (unknown type)
18,70,Virgin at Littlefield WL (USGS) (unknown type)
19,71,Santa Clara at St. George WL (USGS) (unknown type)
20,72,Bloomington at St. George WL (USGS) (unknown type)
21,73,Hurricane WL (USGS) (unknown type)
22,85,Meadow Valley Wash near Caliente Discharge (USGS) (unknown type)
23,86,Muddy River near Moapa Discharge (USGS) (unknown type)
24,87,Muddy River near Glendale Discharge (USGS) (unknown type)
25,88,Virgin River above Lake Mead near Overton Discharge (USGS) (unknown type)
26,89,Beaver Dam Wash Discharge (USGS) (unknown type)
27,90,Virgin at Littlefield Discharge (USGS) (unknown type)
28,91,Santa Clara at St. George Discharge (USGS) (unknown type)
29,92,Bloomington at St. George Discharge (USGS) (unknown type)
30,93,Hurricane Discharge (USGS) (unknown type)
31,94,Warm Springs Inflow Near Moapa (USGS) (unknown type)
32,102,Willow Beach 2 (NPS) Battery Voltage (unknown type)
33,103,Willow Beach 3 (NPS) Battery Voltage (unknown type)
34,104,Malpais Flattop Mesa (NPS) Battery Voltage (unknown type)
35,105,Householder Pass (NPS) Battery Voltage (unknown type)
36,108,Willow Beach 8 (NPS) Battery Voltage (unknown type)
37,111,Black Mtn North (NPS) Battery Voltage (unknown type)
38,112,Black Mtn South (NPS) Battery Voltage (unknown type)
39,113,Bill Gays Butte (NPS) Battery Voltage (unknown type)
40,114,Cottonwood Cove West Battery Voltage (unknown type)
41,128,Eldorado (NPS) Battery (unknown type)
42,140,Mt. Wilson Repeater BATT (Mohave County) (unknown type)
43,150,Mt. Perkins Repeater BATT (Mohave County) (unknown type)
44,160,Willow Beach Fire Station Siren (NPS) Remote Control Base (unknown type)
45,164,Willow Beach Fire Station Siren (NPS) Stop Trigger (unknown type)
46,165,Willow Beach Fire Station Siren (NPS) Test Trigger (unknown type)
47,166,Willow Beach Fire Station Siren (NPS) Start Trigger (unknown type)
48,167,Willow Beach Fire Station Siren (NPS) Battery Voltage Siren (unknown type)
49,168,Willow Beach Fire Station Siren (NPS) 50386 Battery Voltage (unknown type)
50,300,Last Chance Wash (NPS) RAIN (Rain)
51,308,Last Chance Wash (NPS) BATT (unknown type)
52,309,Last Chance Wash (NPS) Remote Control (unknown type)
53,310,Last Chance Hwy 93 (NPS) RAIN (Rain)
54,313,Last Chance Hwy 93 (NPS) WL (Water Level)
55,316,Last Chance Hwy 93 (NPS) WL (unknown type)
56,318,Last Chance Hwy 93 (NPS) BATT (unknown type)
57,320,Last Chance Access Road (NPS) RAIN (Rain)
58,323,Last Chance Access Road (NPS) WL (Water Level)
59,326,Last Chance Access Road (NPS) (unknown type)
60,328,Last Chance Access Road (NPS) BATT (unknown type)
61,329,Last Chance Access Road (NPS) (unknown type)
62,330,Willow Beach 330 (NPS) RAIN (Rain)
63,338,Willow Beach 330 (NPS) BATT (unknown type)
64,339,Willow Beach 330 (NPS) (unknown type)
65,340,Willow Beach Wash (NPS) RAIN (Rain)
66,348,Willow Beach Wash (NPS) BATT (unknown type)
67,349,Willow Beach Wash (NPS) (unknown type)
68,350,Willow Beach Hwy 93 (NPS) RAIN (Rain)
69,353,Willow Beach Hwy 93 (NPS) WL (Water Level)
70,356,Willow Beach Hwy 93 (NPS) (unknown type)
71,358,Willow Beach Hwy 93 (NPS) BATT (unknown type)
72,359,Willow Beach Hwy 93 (NPS) (unknown type)
73,360,Willow Beach Maintenance Siren (NPS) (unknown type)
74,364,Willow Beach Maintenance Siren (NPS) (unknown type)
75,365,Willow Beach Maintenance Siren (NPS) (unknown type)
76,366,Willow Beach Maintenance Siren (NPS) (unknown type)
77,367,Willow Beach Maintenance Siren (NPS) BATT (unknown type)
78,368,Willow Beach Maintenance Siren (NPS) BATT (unknown type)
79,370,Last Chance Flasher (NPS) (unknown type)
80,376,Last Chance Flasher (NPS) (unknown type)
81,377,Last Chance Flasher (NPS) FLASHER BATT (unknown type)
82,378,Last Chance Flasher (NPS) BATT (unknown type)
83,380,Willow Beach Flasher (NPS) (unknown type)
84,386,Willow Beach Flasher (NPS) (unknown type)
85,387,Willow Beach Flasher (NPS) Flasher BATT (unknown type)
86,388,Willow Beach Flasher (NPS) BATT (unknown type)
87,390,Willow Beach Marina Flasher (NPS) (unknown type)
88,396,Willow Beach Marina Flasher (NPS) (unknown type)
89,397,Willow Beach Marina (NPS) Flasher BATT (unknown type)
90,398,Willow Beach Marina Flasher (NPS) (unknown type)
91,400,Cottonwood Cove East (NPS) RAIN (Rain)
92,405,Cottonwood Cove East (NPS) (unknown type)
93,408,Cottonwood Cove East (NPS) BATT (unknown type)
94,410,Cottonwood Cove Central (NPS) RAIN (Rain)
95,415,Cottonwood Cove Central (NPS) (unknown type)
96,418,Cottonwood Cove Central (NPS) BATT (unknown type)
97,420,NPS Staff Housing Wash (NPS) RAIN (Rain)
98,423,NPS Staff Housing Wash (NPS) (unknown type)
99,425,NPS Staff Housing Wash (NPS) (unknown type)
100,426,NPS Staff Housing Wash (NPS) (unknown type)
101,428,NPS Staff Housing Wash (NPS) BATT (unknown type)
102,429,NPS Staff Housing Wash (NPS) (unknown type)
103,430,Access Road Wash (NPS) RAIN (Rain)
104,433,Access Road Wash (NPS) (unknown type)
105,435,Access Road Wash (NPS) (unknown type)
106,436,Access Road Wash (NPS) (unknown type)
107,438,Access Road Wash (NPS) BATT (unknown type)
108,439,Access Road Wash (NPS) (unknown type)
109,440,Cottonwood Cove Developed Area Central Siren (NPS) (unknown type)
110,444,Cottonwood Cove Developed Area Central Siren (NPS) (unknown type)
111,445,Cottonwood Cove Developed Area Central Siren (NPS) (unknown type)
112,446,Cottonwood Cove Developed Area Central Siren (NPS) (unknown type)
113,447,Cottonwood Cove Developed Area Central Siren (NPS) (unknown type)
114,448,Cottonwood Cove Developed Area Central Siren (NPS) (unknown type)
115,450,Cottonwood Cove Maintenance Yard Siren (NPS) (unknown type)
116,456,Cottonwood Cove Maintenance Yard Siren (NPS) (unknown type)
117,458,Cottonwood Cove Maintenance Yard Siren (NPS) (unknown type)
118,460,Cottonwood Cove North Campground Siren (NPS) (unknown type)
119,466,Cottonwood Cove North Campground Siren (NPS) (unknown type)
120,468,Cottonwood Cove North Campground Siren (NPS) (unknown type)
121,500,Willow Beach Housing Flasher (NPS) (unknown type)
122,506,Willow Beach Housing Flasher (NPS) (unknown type)
123,507,Willow Beach Housing Flasher (NPS) (unknown type)
124,508,Willow Beach Housing Flasher (NPS) (unknown type)
125,510,Willow Beach Hwy. 93 Access Road (NPS) RAIN (Rain)
126,513,Willow Beach Hwy. 93 Access Road (NPS) (unknown type)
127,516,Willow Beach Hwy. 93 Access Road (NPS) (unknown type)
128,518,Willow Beach Hwy. 93 Access Road (NPS) (unknown type)
129,519,Willow Beach Hwy. 93 Access Road (NPS) (unknown type)
130,520,Willow Beach Jumbo Wash (NPS) RAIN (Rain)
131,528,Willow Beach Jumbo Wash (NPS) BATT (unknown type)
132,530,Willow Beach Access Road Lower Flasher (NPS) (unknown type)
133,536,Willow Beach Access Road Lower Flasher (NPS) (unknown type)
134,537,Willow Beach Access Road Lower Flasher (NPS) (unknown type)
135,538,Willow Beach Access Road Lower Flasher (NPS) (unknown type)
